"","site","orient","disc","struc","both","Macroalgae","CCA","Empty.space","Red.algae","Detritus","Unidentified","Green.algae","Cyanobacteria","Bryozoa","Coral.recruit","EAM","Tube.worm"
"1","fb","top","15",2,"Upwards Florence Bay",36,14,14,2,6,0,0,0,0,0,28,0
"2","fb","top","16",2,"Upwards Florence Bay",18,20,16,6,20,0,0,0,0,0,20,0
"3","fb","top","17",2,"Upwards Florence Bay",52,8,2,8,0,6,0,0,0,0,24,0
"4","fb","top","18",2,"Upwards Florence Bay",47.5,10,10,5,5,0,0,0,0,0,22.5,0
"5","fb","top","19",2,"Upwards Florence Bay",37.5,10,5,7.5,27.5,0,2.5,0,0,0,10,0
"6","fb","top","20",2,"Upwards Florence Bay",72.5,7.5,0,5,7.5,0,0,0,0,0,7.5,0
"7","fb","top","21",2,"Upwards Florence Bay",32.5,12.5,0,30,10,2.5,0,0,0,0,12.5,0
"8","fb","bot","22",2,"Downwards Florence Bay",0,25,2.5,25,2.5,0,0,0,0,0,45,0
"9","fb","bot","23",2,"Downwards Florence Bay",0,5,2.5,25,22.5,2.5,2.5,5,0,0,35,0
"10","fb","bot","24",2,"Downwards Florence Bay",0,5,0,17.5,0,7.5,10,0,0,0,60,0
"11","fb","bot","25",2,"Downwards Florence Bay",0,5,2.5,40,0,5,0,0,0,0,47.5,0
"12","fb","bot","26",2,"Downwards Florence Bay",0,2.5,2.5,57.5,0,7.5,2.5,0,0,0,27.5,0
"13","fb","bot","27",2,"Downwards Florence Bay",0,2.5,0,40,5,5,0,0,0,0,47.5,0
"14","fb","bot","28",2,"Downwards Florence Bay",0,0,2.5,25,5,7.5,0,0,0,0,60,0
"15","fb","top","29",3,"Upwards Florence Bay",0,27.5,5,12.5,0,2.5,0,0,10,2.5,40,0
"16","fb","top","30",3,"Upwards Florence Bay",40,15,7.5,20,2.5,2.5,5,0,0,0,7.5,0
"17","fb","top","31",3,"Upwards Florence Bay",80,2.5,2.5,12.5,0,0,0,0,0,0,2.5,0
"18","fb","top","32",3,"Upwards Florence Bay",70,10,0,10,0,0,0,0,0,0,10,0
"19","fb","top","33",3,"Upwards Florence Bay",70,0,0,17.5,2.5,5,0,0,0,0,5,0
"20","fb","top","34",3,"Upwards Florence Bay",65,7.5,0,5,2.5,2.5,0,0,0,0,17.5,0
"21","fb","top","35",3,"Upwards Florence Bay",42.5,7.5,0,5,7.5,2.5,0,0,0,0,35,0
"22","fb","bot","36",3,"Downwards Florence Bay",10,15,2.5,5,17.5,10,0,0,0,0,40,0
"23","fb","bot","37",3,"Downwards Florence Bay",0,35,5,2.5,2.5,0,0,0,2.5,0,52.5,0
"24","fb","bot","38",3,"Downwards Florence Bay",0,15,12.5,17.5,0,2.5,7.5,0,0,0,45,0
"25","fb","bot","39",3,"Downwards Florence Bay",0,0,5,30,10,0,0,0,12.5,0,42.5,0
"26","fb","bot","40",3,"Downwards Florence Bay",0,20,5,20,7.5,2.5,0,0,7.5,0,37.5,0
"27","fb","bot","41",3,"Downwards Florence Bay",0,40,12.5,7.5,0,0,0,0,0,0,40,0
"28","fb","bot","42",3,"Downwards Florence Bay",0,45,5,0,0,0,0,0,0,0,50,0
"29","pb","top","43",1,"Upwards Picnic Bay",0,25,7.5,15,0,0,0,0,2.5,0,47.5,2.5
"30","pb","top","44",1,"Upwards Picnic Bay",0,47.5,2.5,10,0,0,0,0,0,0,40,0
"31","pb","top","45",1,"Upwards Picnic Bay",80,0,10,0,10,0,0,0,0,0,0,0
"32","pb","top","46",1,"Upwards Picnic Bay",52.5,20,12.5,0,2.5,5,2.5,0,0,0,5,0
"33","pb","top","47",1,"Upwards Picnic Bay",20,17.5,5,0,0,0,7.5,0,0,0,50,0
"34","pb","top","48",1,"Upwards Picnic Bay",67.5,2.5,7.5,0,0,0,2.5,0,0,0,20,0
"35","pb","top","49",1,"Upwards Picnic Bay",82.5,5,2.5,0,0,0,0,0,0,0,10,0
"36","pb","bot","50",1,"Downwards Picnic Bay",80,2.5,0,0,7.5,0,0,0,0,0,10,0
"37","pb","bot","51",1,"Downwards Picnic Bay",85,0,2.5,2.5,2.5,0,0,0,0,0,7.5,0
"38","pb","bot","52",1,"Downwards Picnic Bay",0,5,0,10,0,0,5,0,20,0,47.5,12.5
"39","pb","bot","53",1,"Downwards Picnic Bay",0,0,2.5,5,0,0,5,0,42.5,0,42.5,2.5
"40","pb","bot","54",1,"Downwards Picnic Bay",0,0,0,22.5,0,0,0,0,47.5,0,27.5,2.5
"41","pb","bot","55",1,"Downwards Picnic Bay",0,2.5,0,0,0,0,0,0,70,0,25,2.5
"42","pb","bot","56",1,"Downwards Picnic Bay",0,0,0,2.5,0,5,0,0,77.5,0,15,0
"43","pb","top","57",2,"Upwards Picnic Bay",0,0,0,17.5,0,0,0,0,50,0,25,7.5
"44","pb","top","58",2,"Upwards Picnic Bay",37.5,5,2.5,2.5,0,0,0,0,0,0,50,2.5
"45","pb","top","59",2,"Upwards Picnic Bay",17.5,7.5,5,5,0,2.5,5,0,0,0,57.5,0
"46","pb","top","60",2,"Upwards Picnic Bay",7.5,5,12.5,0,7.5,0,0,2.5,0,0,65,0
"47","pb","top","61",2,"Upwards Picnic Bay",15,2.5,0,22.5,17.5,0,0,0,0,0,42.5,0
"48","pb","top","62",2,"Upwards Picnic Bay",15,0,12.5,10,27.5,0,0,0,0,0,32.5,2.5
"49","pb","top","63",2,"Upwards Picnic Bay",30,2.5,10,2.5,10,0,0,0,0,0,45,0
"50","pb","bot","64",2,"Downwards Picnic Bay",22.5,7.5,0,0,0,5,0,2.5,0,0,62.5,0
"51","pb","bot","65",2,"Downwards Picnic Bay",0,7.5,10,17.5,0,0,0,0,7.5,0,40,17.5
"52","pb","bot","66",2,"Downwards Picnic Bay",0,0,2.5,25,5,0,0,0,15,0,45,7.5
"53","pb","bot","67",2,"Downwards Picnic Bay",0,0,2.5,0,7.5,0,0,0,37.5,0,52.5,0
"54","pb","bot","68",2,"Downwards Picnic Bay",0,5,12.5,2.5,2.5,0,0,0,17.5,0,57.5,2.5
"55","pb","bot","69",2,"Downwards Picnic Bay",0,5,0,2.5,0,0,0,7.5,47.5,0,30,7.5
"56","pb","bot","70",2,"Downwards Picnic Bay",0,12.5,12.5,5,0,0,0,0,20,0,45,5
"57","pb","top","71",3,"Upwards Picnic Bay",0,7.5,20,2.5,0,0,0,0,0,0,50,20
"58","pb","top","72",3,"Upwards Picnic Bay",7.5,7.5,20,2.5,32.5,0,0,0,0,0,30,0
"59","pb","top","73",3,"Upwards Picnic Bay",2.5,5,40,7.5,5,0,0,0,0,0,40,0
"60","pb","top","74",3,"Upwards Picnic Bay",2.5,2.5,72.5,2.5,2.5,0,0,0,0,0,15,2.5
"61","pb","top","75",3,"Upwards Picnic Bay",2.5,0,7.5,0,85,0,0,0,0,0,5,0
"62","pb","top","76",3,"Upwards Picnic Bay",5,0,10,2.5,75,0,0,0,0,0,7.5,0
"63","pb","top","77",3,"Upwards Picnic Bay",62.5,0,10,0,27.5,0,0,0,0,0,0,0
"64","pb","bot","78",3,"Downwards Picnic Bay",0,7.5,2.5,2.5,0,0,0,0,77.5,0,10,0
"65","pb","bot","79",3,"Downwards Picnic Bay",0,0,2.5,2.5,0,0,0,0,60,0,22.5,12.5
"66","pb","bot","80",3,"Downwards Picnic Bay",0,2.5,7.5,30,2.5,0,0,0,2.5,0,35,20
"67","pb","bot","81",3,"Downwards Picnic Bay",0,15,10,7.5,2.5,0,0,0,10,0,27.5,27.5
"68","pb","bot","83",3,"Downwards Picnic Bay",0,5,2.5,5,2.5,0,0,0,75,0,10,0
"69","pb","bot","84",3,"Downwards Picnic Bay",0,12.5,2.5,5,7.5,0,0,0,25,0,37.5,10
